date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:38	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/home_4_grad)
16:08:39	26689/26689	---M--	200	added ('OK')	image/png	etag:%220203486df8bf693b78e7ecc7fa7d5824-ssl%22	https://digikit.netlify.app/assets/images/bg/testimonialsgrad.png	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/images/bg/testimonialsgrad.png	(from https://digikit.netlify.app/pages/home_4_grad)
16:08:39	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/home_5_grad)
16:08:39	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/home_5_grad)
16:08:40	95339/95339	---M--	200	added ('OK')	image/png	etag:%2229e43260186c1eb67c22173f377f7791-ssl%22	https://digikit.netlify.app/assets/images/bg/screen1-grad.png	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/images/bg/screen1-grad.png	(from https://digikit.netlify.app/pages/home_5_grad)
16:08:40	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_about.html)
16:08:40	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_about.html)
16:08:40	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_services.html)
16:08:40	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_services.html)
16:08:41	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_plans.html)
16:08:41	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_plans.html)
16:08:43	31418/31418	---M--	200	added ('OK')	image/jpeg	etag:%227aba-5b12755e53114%22	https://www.wrappixel.com/demos/ui-kit/wrapkit/assets/images/testimonial/1.jpg	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/www.wrappixel.com/demos/ui-kit/wrapkit/assets/images/testimonial/1.jpg	(from https://digikit.netlify.app/pages/page_plans.html)
16:08:44	863049/863049	---M--	200	added ('OK')	image/png	etag:%22c6efd375d8f8b8add1d7ec1311328f66-ssl%22	https://digikit.netlify.app/assets/images/bg/herograd.png	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/images/bg/herograd.png	(from https://digikit.netlify.app/pages/home_5_grad)
